Account: iDynamics SaaS Inc — Operating
Period: February 2026
Opening Balance: 1,427,975.00

transaction_date,post_date,description,type,amount,reference_number,running_balance
2026-02-05,2026-02-05,ACH CREDIT — PRAIRIE SAAS INNOVATIONS — RETRY REF:SUB028 INV:INV-2026-01-0030,Credit,675.00,TXN-2026-02-0001,1428650.00
2026-02-01,2026-02-01,ACH CREDIT — ONTARIO MANUFACTURING TECH — REF:SUB007,Credit,1360.00,TXN-2026-02-0002,1430010.00
2026-02-01,2026-02-01,ACH CREDIT — ONTARIO MANUFACTURING TECH — REF:SUB050,Credit,594.00,TXN-2026-02-0003,1430604.00
2026-02-02,2026-02-02,ACH CREDIT — VANCOUVER FINTECH LABS — REF:SUB018,Credit,6300.00,TXN-2026-02-0004,1436904.00
2026-02-03,2026-02-03,ACH CREDIT — HALIFAX HEALTHCARE TECH — REF:SUB029,Credit,1870.00,TXN-2026-02-0005,1438774.00
2026-02-05,2026-02-05,ACH CREDIT — MAPLE HEALTHCARE SYSTEMS — REF:SUB003,Credit,1955.00,TXN-2026-02-0006,1440729.00
2026-02-05,2026-02-05,ACH CREDIT — NORTHERN RETAIL SOLUTIONS — REF:SUB043,Credit,2805.00,TXN-2026-02-0007,1443534.00
2026-02-05,2026-02-05,ACH CREDIT — PACIFIC FINANCE CORP — REF:SUB053,Credit,5580.00,TXN-2026-02-0008,1449114.00
2026-02-05,2026-02-05,ACH CREDIT — QUANTUM EDUCATION PLATFORM — REF:SUB059,Credit,1870.00,TXN-2026-02-0009,1450984.00
2026-02-06,2026-02-06,ACH CREDIT — PACIFIC FINANCE CORP — REF:SUB027,Credit,3080.00,TXN-2026-02-0010,1454064.00
2026-02-08,2026-02-08,ACH CREDIT — TORONTO MEDIA GROUP — REF:SUB014,Credit,2380.00,TXN-2026-02-0011,1456444.00
2026-02-08,2026-02-08,ACH CREDIT — MONTREAL FINANCE HUB — REF:SUB045,Credit,1105.00,TXN-2026-02-0012,1457549.00
2026-02-08,2026-02-08,ACH CREDIT — WESTERN RETAIL GROUP — REF:SUB058,Credit,2860.00,TXN-2026-02-0013,1460409.00
2026-02-09,2026-02-09,ACH CREDIT — CALGARY TECH PARTNERS — REF:SUB038,Credit,585.00,TXN-2026-02-0014,1460994.00
2026-02-10,2026-02-10,ACH CREDIT — MARITIME E-COMMERCE — REF:SUB012,Credit,2185.00,TXN-2026-02-0015,1463179.00
2026-02-10,2026-02-10,ACH CREDIT — MAPLE HEALTHCARE SYSTEMS — REF:SUB042,Credit,2090.00,TXN-2026-02-0016,1465269.00
2026-02-10,2026-02-10,ACH CREDIT — TORONTO MEDIA GROUP — REF:SUB051,Credit,2530.00,TXN-2026-02-0017,1467799.00
2026-02-10,2026-02-10,ACH CREDIT — DYNAMIC RETAIL SOLUTIONS — REF:SUB063,Credit,3080.00,TXN-2026-02-0018,1470879.00
2026-02-12,2026-02-12,ACH CREDIT — MANITOBA FINANCE GROUP — REF:SUB036,Credit,1710.00,TXN-2026-02-0019,1472589.00
2026-02-12,2026-02-12,ACH CREDIT — QUEBEC MANUFACTURING — REF:SUB056,Credit,3230.00,TXN-2026-02-0020,1475819.00
2026-02-13,2026-02-13,ACH CREDIT — MONTREAL FINANCE HUB — REF:SUB010,Credit,585.00,TXN-2026-02-0021,1476404.00
2026-02-14,2026-02-14,ACH CREDIT — QUEBEC EDUCATION PLATFORM — REF:SUB034,Credit,720.00,TXN-2026-02-0022,1477124.00
2026-02-15,2026-02-15,ACH CREDIT — TECHVISION SOLUTIONS — REF:SUB041,Credit,1760.00,TXN-2026-02-0023,1478884.00
2026-02-15,2026-02-15,ACH CREDIT — VANCOUVER FINTECH LABS — REF:SUB052,Credit,2975.00,TXN-2026-02-0024,1481859.00
2026-02-15,2026-02-15,ACH CREDIT — ISLAND MEDIA PRODUCTIONS — REF:SUB062,Credit,935.00,TXN-2026-02-0025,1482794.00
2026-02-16,2026-02-16,ACH CREDIT — CENTRAL HEALTHCARE PARTNERS — REF:SUB019,Credit,1615.00,TXN-2026-02-0026,1484409.00
2026-02-17,2026-02-17,ACH CREDIT — ALBERTA E-COMMERCE HUB — REF:SUB030,Credit,1900.00,TXN-2026-02-0027,1486309.00
2026-02-17,2026-02-17,ACH CREDIT — BC MANUFACTURING SYSTEMS — REF:SUB032,Credit,4680.00,TXN-2026-02-0028,1490989.00
2026-02-18,2026-02-18,ACH CREDIT — TORONTO TECH VENTURES — REF:SUB047,Credit,2860.00,TXN-2026-02-0029,1493849.00
2026-02-19,2026-02-19,ACH CREDIT — PRAIRIE COMMERCE GROUP — REF:SUB004,Credit,1980.00,TXN-2026-02-0030,1495829.00
