Account: iDynamics SaaS Inc — Operating
Period: January 2026
Opening Balance: 1,250,000.00

transaction_date,post_date,description,type,amount,reference_number,running_balance
2026-01-01,2026-01-01,ACH CREDIT — ONTARIO MANUFACTURING TECH — REF:SUB007,Credit,1360.00,TXN-2026-02-0001,1251360.00
2026-01-01,2026-01-01,ACH CREDIT — ONTARIO MANUFACTURING TECH — REF:SUB050,Credit,594.00,TXN-2026-02-0002,1251954.00
2026-01-02,2026-01-02,ACH CREDIT — VANCOUVER FINTECH LABS — REF:SUB018,Credit,6300.00,TXN-2026-02-0003,1258254.00
2026-01-03,2026-01-03,ACH CREDIT — HALIFAX HEALTHCARE TECH — REF:SUB029,Credit,1870.00,TXN-2026-02-0004,1260124.00
2026-01-05,2026-01-05,ACH CREDIT — MAPLE HEALTHCARE SYSTEMS — REF:SUB003,Credit,1955.00,TXN-2026-02-0005,1262079.00
2026-01-05,2026-01-05,ACH CREDIT — NORTHERN RETAIL SOLUTIONS — REF:SUB043,Credit,2805.00,TXN-2026-02-0006,1264884.00
2026-01-05,2026-01-05,ACH CREDIT — PACIFIC FINANCE CORP — REF:SUB053,Credit,5580.00,TXN-2026-02-0007,1270464.00
2026-01-05,2026-01-05,ACH CREDIT — QUANTUM EDUCATION PLATFORM — REF:SUB059,Credit,1870.00,TXN-2026-02-0008,1272334.00
2026-01-06,2026-01-06,ACH CREDIT — PACIFIC FINANCE CORP — REF:SUB027,Credit,3080.00,TXN-2026-02-0009,1275414.00
2026-01-08,2026-01-08,ACH CREDIT — TORONTO MEDIA GROUP — REF:SUB014,Credit,2380.00,TXN-2026-02-0010,1277794.00
2026-01-08,2026-01-08,ACH CREDIT — MONTREAL FINANCE HUB — REF:SUB045,Credit,1105.00,TXN-2026-02-0011,1278899.00
2026-01-08,2026-01-08,ACH CREDIT — WESTERN RETAIL GROUP — REF:SUB058,Credit,2860.00,TXN-2026-02-0012,1281759.00
2026-01-09,2026-01-09,ACH CREDIT — CALGARY TECH PARTNERS — REF:SUB038,Credit,585.00,TXN-2026-02-0013,1282344.00
2026-01-10,2026-01-10,ACH CREDIT — MARITIME E-COMMERCE — REF:SUB012,Credit,2185.00,TXN-2026-02-0014,1284529.00
