invoice_id,invoice_number,invoice_date,customer_id,customer_name,subscription_id,plan_name,billing_cycle,period_start,period_end,seats,unit_price_usd,subtotal,discount_pct,discount_amount,amount_due_usd,status,payment_date,failure_reason
in_20260200001,INV-2026-02-0001,2026-02-01,CUST007,Ontario Manufacturing Tech,SUB007,Marketing Pro,Monthly,2026-02-01,2026-02-28,16,85.00,1360.00,0,0.00,1360.00,paid,2026-02-01,
in_20260200002,INV-2026-02-0002,2026-02-01,CUST007,Ontario Manufacturing Tech,SUB050,Analytics Starter,Monthly,2026-02-01,2026-02-28,15,45.00,675.00,12,81.00,594.00,paid,2026-02-01,
in_20260200003,INV-2026-02-0003,2026-02-02,CUST018,Vancouver FinTech Labs,SUB018,Analytics Enterprise,Monthly,2026-02-02,2026-02-28,35,180.00,6300.00,0,0.00,6300.00,paid,2026-02-02,
in_20260200004,INV-2026-02-0004,2026-02-03,CUST029,Halifax Healthcare Tech,SUB029,Marketing Pro,Monthly,2026-02-03,2026-02-28,22,85.00,1870.00,0,0.00,1870.00,paid,2026-02-03,
in_20260200005,INV-2026-02-0005,2026-02-05,CUST003,Maple Healthcare Systems,SUB003,Marketing Pro,Monthly,2026-02-05,2026-02-28,23,85.00,1955.00,0,0.00,1955.00,paid,2026-02-05,
in_20260200006,INV-2026-02-0006,2026-02-05,CUST006,Northern Retail Solutions,SUB043,Marketing Pro,Monthly,2026-02-05,2026-02-28,33,85.00,2805.00,0,0.00,2805.00,paid,2026-02-05,
in_20260200007,INV-2026-02-0007,2026-02-05,CUST027,Pacific Finance Corp,SUB053,Analytics Enterprise,Monthly,2026-02-05,2026-02-28,31,180.00,5580.00,0,0.00,5580.00,paid,2026-02-05,
in_20260200008,INV-2026-02-0008,2026-02-05,CUST008,Quantum Education Platform,SUB059,Marketing Pro,Monthly,2026-02-05,2026-02-28,22,85.00,1870.00,0,0.00,1870.00,paid,2026-02-05,
in_20260200009,INV-2026-02-0009,2026-02-06,CUST027,Pacific Finance Corp,SUB027,Sales Hub,Monthly,2026-02-06,2026-02-28,28,110.00,3080.00,0,0.00,3080.00,paid,2026-02-06,
in_20260200010,INV-2026-02-0010,2026-02-08,CUST014,Toronto Media Group,SUB014,Marketing Pro,Monthly,2026-02-08,2026-02-28,28,85.00,2380.00,0,0.00,2380.00,paid,2026-02-08,
in_20260200011,INV-2026-02-0011,2026-02-08,CUST010,Montreal Finance Hub,SUB045,Marketing Pro,Monthly,2026-02-08,2026-02-28,13,85.00,1105.00,0,0.00,1105.00,paid,2026-02-08,
in_20260200012,INV-2026-02-0012,2026-02-08,CUST024,Western Retail Group,SUB058,Sales Hub,Monthly,2026-02-08,2026-02-28,26,110.00,2860.00,0,0.00,2860.00,paid,2026-02-08,
in_20260200013,INV-2026-02-0013,2026-02-09,CUST038,Calgary Tech Partners,SUB038,Analytics Starter,Monthly,2026-02-09,2026-02-28,13,45.00,585.00,0,0.00,585.00,paid,2026-02-09,
in_20260200014,INV-2026-02-0014,2026-02-10,CUST012,Maritime E-commerce,SUB012,Analytics Growth,Monthly,2026-02-10,2026-02-28,23,95.00,2185.00,0,0.00,2185.00,paid,2026-02-10,
in_20260200015,INV-2026-02-0015,2026-02-10,CUST003,Maple Healthcare Systems,SUB042,Sales Hub,Monthly,2026-02-10,2026-02-28,19,110.00,2090.00,0,0.00,2090.00,paid,2026-02-10,
in_20260200016,INV-2026-02-0016,2026-02-10,CUST014,Toronto Media Group,SUB051,Sales Hub,Monthly,2026-02-10,2026-02-28,23,110.00,2530.00,0,0.00,2530.00,paid,2026-02-10,
in_20260200017,INV-2026-02-0017,2026-02-10,CUST041,Dynamic Retail Solutions,SUB063,Sales Hub,Monthly,2026-02-10,2026-02-28,28,110.00,3080.00,0,0.00,3080.00,paid,2026-02-10,
in_20260200018,INV-2026-02-0018,2026-02-12,CUST036,Manitoba Finance Group,SUB036,Analytics Growth,Monthly,2026-02-12,2026-02-28,18,95.00,1710.00,0,0.00,1710.00,paid,2026-02-12,
in_20260200019,INV-2026-02-0019,2026-02-12,CUST016,Quebec Manufacturing,SUB056,Marketing Pro,Monthly,2026-02-12,2026-02-28,38,85.00,3230.00,0,0.00,3230.00,paid,2026-02-12,
in_20260200020,INV-2026-02-0020,2026-02-13,CUST010,Montreal Finance Hub,SUB010,Analytics Starter,Monthly,2026-02-13,2026-02-28,13,45.00,585.00,0,0.00,585.00,paid,2026-02-13,
in_20260200021,INV-2026-02-0021,2026-02-14,CUST034,Quebec Education Platform,SUB034,Analytics Starter,Monthly,2026-02-14,2026-02-28,16,45.00,720.00,0,0.00,720.00,paid,2026-02-14,
in_20260200022,INV-2026-02-0022,2026-02-15,CUST001,TechVision Solutions,SUB041,Sales Hub,Monthly,2026-02-15,2026-02-28,16,110.00,1760.00,0,0.00,1760.00,paid,2026-02-15,
in_20260200023,INV-2026-02-0023,2026-02-15,CUST018,Vancouver FinTech Labs,SUB052,Marketing Pro,Monthly,2026-02-15,2026-02-28,35,85.00,2975.00,0,0.00,2975.00,paid,2026-02-15,
in_20260200024,INV-2026-02-0024,2026-02-15,CUST023,Island Media Productions,SUB062,Marketing Pro,Monthly,2026-02-15,2026-02-28,11,85.00,935.00,0,0.00,935.00,paid,2026-02-15,
in_20260200025,INV-2026-02-0025,2026-02-16,CUST019,Central Healthcare Partners,SUB019,Marketing Pro,Monthly,2026-02-16,2026-02-28,19,85.00,1615.00,0,0.00,1615.00,paid,2026-02-16,
in_20260200026,INV-2026-02-0026,2026-02-17,CUST030,Alberta E-commerce Hub,SUB030,Analytics Growth,Monthly,2026-02-17,2026-02-28,20,95.00,1900.00,0,0.00,1900.00,paid,2026-02-17,
in_20260200027,INV-2026-02-0027,2026-02-17,CUST032,BC Manufacturing Systems,SUB032,Analytics Enterprise,Monthly,2026-02-17,2026-02-28,26,180.00,4680.00,0,0.00,4680.00,paid,2026-02-17,
